2025-07-14 19:20:16 | INFO | tests.unit.test_chaos_engineering:inject_service_failure:65 | Injecting service failure for kafka
2025-07-14 19:20:16 | INFO | tests.unit.test_chaos_engineering:recover_service:114 | Service kafka recovered
2025-07-14 19:20:16 | INFO | tests.unit.test_chaos_engineering:inject_network_timeout:69 | Injecting network timeout: 0.1s delay
2025-07-14 19:20:16 | INFO | tests.unit.test_chaos_engineering:run_service_failure_test:180 | Starting service failure test for test_service
2025-07-14 19:20:16 | INFO | tests.unit.test_chaos_engineering:inject_service_failure:65 | Injecting service failure for test_service
2025-07-14 19:20:19 | INFO | tests.unit.test_chaos_engineering:run_network_partition_test:222 | Starting network partition test
2025-07-14 19:20:29 | INFO | tests.unit.test_chaos_engineering:run_resource_exhaustion_test:242 | Starting resource exhaustion test
2025-07-14 19:20:29 | INFO | tests.unit.test_chaos_engineering:inject_memory_pressure:74 | Injecting memory pressure: 50MB
2025-07-14 19:20:29 | INFO | tests.unit.test_chaos_engineering:inject_cpu_load:81 | Injecting CPU load for 1s
2025-07-14 19:20:30 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka' oluşturuldu
2025-07-14 19:20:30 | WARNING | src.utils.circuit_breaker:_open_circuit:84 | Circuit breaker 'kafka' OPEN durumuna geçti. Sonraki deneme: 60.0 saniye sonra
2025-07-14 19:20:30 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'qdrant' oluşturuldu
2025-07-14 19:20:30 | WARNING | src.utils.circuit_breaker:_open_circuit:84 | Circuit breaker 'qdrant' OPEN durumuna geçti. Sonraki deneme: 60.0 saniye sonra
2025-07-14 19:20:30 | INFO | tests.unit.test_chaos_engineering:run_service_failure_test:180 | Starting service failure test for kafka
2025-07-14 19:20:30 | INFO | tests.unit.test_chaos_engineering:inject_service_failure:65 | Injecting service failure for kafka
2025-07-14 19:20:33 | INFO | tests.unit.test_chaos_engineering:run_service_failure_test:180 | Starting service failure test for qdrant
2025-07-14 19:20:33 | INFO | tests.unit.test_chaos_engineering:inject_service_failure:65 | Injecting service failure for qdrant
2025-07-14 19:20:36 | INFO | tests.unit.test_chaos_engineering:run_network_partition_test:222 | Starting network partition test
2025-07-14 19:20:46 | INFO | tests.unit.test_chaos_engineering:run_resource_exhaustion_test:242 | Starting resource exhaustion test
2025-07-14 19:20:46 | INFO | tests.unit.test_chaos_engineering:inject_memory_pressure:74 | Injecting memory pressure: 50MB
2025-07-14 19:20:46 | INFO | tests.unit.test_chaos_engineering:inject_cpu_load:81 | Injecting CPU load for 1s
2025-07-14 19:20:47 | WARNING | src.utils.circuit_breaker:_open_circuit:84 | Circuit breaker 'test_cb' OPEN durumuna geçti. Sonraki deneme: 1.0 saniye sonra
2025-07-14 19:20:47 | INFO | src.utils.circuit_breaker:_close_circuit:77 | Circuit breaker 'test_cb' CLOSED durumuna geçti
2025-07-14 19:20:47 | WARNING | src.utils.circuit_breaker:_open_circuit:84 | Circuit breaker 'test_cb' OPEN durumuna geçti. Sonraki deneme: 1.0 saniye sonra
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:_half_open_circuit:93 | Circuit breaker 'test_cb' HALF_OPEN durumuna geçti
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'test_cb' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'test_cb' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'cb1' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'cb2' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'test_cb' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:_close_circuit:77 | Circuit breaker 'test_cb' CLOSED durumuna geçti
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:reset_circuit_breaker:184 | Circuit breaker 'test_cb' sıfırlandı
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'async_test_decorator' oluşturuldu
2025-07-14 19:20:48 | WARNING | src.utils.circuit_breaker:_open_circuit:84 | Circuit breaker 'async_test_decorator' OPEN durumuna geçti. Sonraki deneme: 60.0 saniye sonra
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.utils.circuit_breaker:create_circuit_breaker:166 | Circuit breaker 'kafka_consumer_cf' oluşturuldu
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:_get_best_device:54 | ✅ Apple MPS bulundu - M3 Pro optimized, 18k+ sentences/sec hedefleniyor
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:__init__:40 | 🚀 High-performance embedding processor başlatılıyor:
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:__init__:41 |    📝 Model: sentence-transformers/all-MiniLM-L6-v2 (Sentence Transformers)
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:__init__:42 |    📏 Vector size: 384
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:__init__:43 |    🔥 Device: mps
2025-07-14 19:20:48 | INFO | src.core.embedding_processor:__init__:44 |    📦 Batch size: 32 (optimized for M3 Pro)
